Robot: REACHY EF: [ON]
Evaluate_mode: JOINT
Mean_error: 0.2534787716999189
===================================================
All errors:
02_05: 0.27899663602939595
13_08: 0.12671023792672606
13_15: 0.25418716487921866
13_18: 0.3555240620622753
13_21: 0.37324658731407845
15_08: 0.1901325975895484
26_02: 0.14959459929295726
55_16: 0.32547419410349365
56_02: 0.22744286610157605
